variant,scenario,algorithm,distance_km,wait_min,probability_of_delay,reserved_parallel,reservation_starts,price_pence_per_kwh,runtime_ms,reservation_accepted,load_multiplier,lambda_multiplier,top_k_sampled,weights_distance,weights_wait,weights_cost,battery_level_percent,battery_capacity_kwh
baseline_equal,urban,nearest,0.17,40.0,0.5,0,0,55.0,0.7143479961086996,0,1.0,1.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,28.5635376702014,40.0
baseline_equal,urban,cost_optimized,0.3847,2.6666666666666665,0.09999999999999999,0,0,55.0,1.562104000186082,1,1.0,1.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,28.5635376702014,40.0
baseline_equal,urban,queue_aware,0.7283,1.626613657832543e-08,3.456554022894154e-09,1,0,55.0,1.8266219994984567,1,1.0,1.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,28.5635376702014,40.0
baseline_equal,urban,static_queue,0.7283,7.234400540521811e-10,1.71817012837393e-10,0,0,55.0,1.609108003322035,1,1.0,1.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,28.5635376702014,40.0
baseline_equal,urban,dijkstra,0.9753999999999999,40.0,0.5,0,0,55.0,46.16458199598128,0,1.0,1.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,28.5635376702014,40.0
baseline_equal,urban,range_aware,2.321,5.002061109666476e-25,2.438504790962407e-25,0,0,55.0,1.6139069994096644,1,1.0,1.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,28.5635376702014,40.0
baseline_equal,urban,nearest,0.5241,2.6666666666666665,0.09999999999999999,0,0,55.0,0.7651510022697039,1,1.0,1.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,26.342389002075755,40.0
baseline_equal,urban,cost_optimized,0.5241,2.6666666666666665,0.09999999999999999,0,0,55.0,1.6033069987315685,1,1.0,1.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,26.342389002075755,40.0
baseline_equal,urban,queue_aware,1.0473,0.24242424242424243,0.015151515151515152,0,0,55.0,1.8278220013598911,1,1.0,1.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,26.342389002075755,40.0
baseline_equal,urban,static_queue,1.0473,0.24242424242424243,0.015151515151515152,0,0,55.0,1.415294005710166,1,1.0,1.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,26.342389002075755,40.0
