variant,scenario,algorithm,fairness_jain,reservation_rejection_rate,load_multiplier,top_k_sampled,weights_distance,weights_wait,weights_cost
erlang_sensitivity,mixed,range_aware,0.003378145560238416,0.0,1.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
erlang_sensitivity,highway,nearest,0.014459643136007403,0.21,1.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
erlang_sensitivity,highway,cost_optimized,0.013901168254180082,0.02,1.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
erlang_sensitivity,highway,queue_aware,0.009455334889051101,0.0,1.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
erlang_sensitivity,highway,static_queue,0.010458806942974401,0.0,1.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
erlang_sensitivity,highway,dijkstra,0.026279827604330917,0.44,1.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
erlang_sensitivity,highway,range_aware,0.0039020248387293135,0.0,1.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
erlang_sensitivity,urban,nearest,0.06730199752328649,0.35,1.5,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
erlang_sensitivity,urban,cost_optimized,0.04855217416635917,0.12,1.5,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
erlang_sensitivity,urban,queue_aware,0.0390478570536049,0.0,1.5,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
erlang_sensitivity,urban,static_queue,0.03695600756859035,0.06,1.5,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
erlang_sensitivity,urban,dijkstra,0.08901231930499182,0.42,1.5,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
erlang_sensitivity,urban,range_aware,0.0033112582781456954,0.0,1.5,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
erlang_sensitivity,mixed,nearest,0.05222804855119393,0.3,1.5,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
erlang_sensitivity,mixed,cost_optimized,0.03754261086332988,0.15,1.5,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
erlang_sensitivity,mixed,queue_aware,0.028594631072069908,0.02,1.5,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
erlang_sensitivity,mixed,static_queue,0.02741107846147099,0.06,1.5,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
erlang_sensitivity,mixed,dijkstra,0.05340739158299509,0.37,1.5,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
erlang_sensitivity,mixed,range_aware,0.003378145560238416,0.0,1.5,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
erlang_sensitivity,highway,nearest,0.014042655971779878,0.17,1.5,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
erlang_sensitivity,highway,cost_optimized,0.015873721371743504,0.14,1.5,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
erlang_sensitivity,highway,queue_aware,0.011553587851171302,0.0,1.5,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
erlang_sensitivity,highway,static_queue,0.011758729680915112,0.0,1.5,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
erlang_sensitivity,highway,dijkstra,0.02497178188646829,0.39,1.5,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
erlang_sensitivity,highway,range_aware,0.004161963647744715,0.0,1.5,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
erlang_sensitivity,urban,nearest,0.05482215692294198,0.46,2.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
erlang_sensitivity,urban,cost_optimized,0.05482215692294198,0.45,2.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
erlang_sensitivity,urban,queue_aware,0.05482215692294198,0.42,2.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
erlang_sensitivity,urban,static_queue,0.05482215692294198,0.44,2.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
erlang_sensitivity,urban,dijkstra,0.06417167205708713,0.36,2.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
erlang_sensitivity,urban,range_aware,0.0033112582781456954,0.0,2.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
erlang_sensitivity,mixed,nearest,0.04611780331679242,0.34,2.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
erlang_sensitivity,mixed,cost_optimized,0.04611780331679242,0.3,2.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
erlang_sensitivity,mixed,queue_aware,0.04611780331679242,0.29,2.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
erlang_sensitivity,mixed,static_queue,0.04611780331679242,0.28,2.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
erlang_sensitivity,mixed,dijkstra,0.05482215692294198,0.3,2.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
erlang_sensitivity,mixed,range_aware,0.0033112582781456954,0.0,2.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
erlang_sensitivity,highway,nearest,0.015980976245876907,0.23,2.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
erlang_sensitivity,highway,cost_optimized,0.015980976245876907,0.23,2.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
erlang_sensitivity,highway,queue_aware,0.015980976245876907,0.17,2.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
erlang_sensitivity,highway,static_queue,0.015980976245876907,0.2,2.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
erlang_sensitivity,highway,dijkstra,0.024674055723887447,0.27,2.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
erlang_sensitivity,highway,range_aware,0.00461821238235104,0.0,2.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
erlang_sensitivity,urban,nearest,0.05728820550425078,0.4,3.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
erlang_sensitivity,urban,cost_optimized,0.05728820550425078,0.39,3.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
erlang_sensitivity,urban,queue_aware,0.05728820550425078,0.34,3.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
erlang_sensitivity,urban,static_queue,0.05728820550425078,0.41,3.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
erlang_sensitivity,urban,dijkstra,0.06702951980052015,0.46,3.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
erlang_sensitivity,urban,range_aware,0.0033112582781456954,0.0,3.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
erlang_sensitivity,mixed,nearest,0.05047649814246487,0.31,3.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
erlang_sensitivity,mixed,cost_optimized,0.05047649814246487,0.34,3.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
erlang_sensitivity,mixed,queue_aware,0.05047649814246487,0.31,3.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
erlang_sensitivity,mixed,static_queue,0.05047649814246487,0.31,3.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
erlang_sensitivity,mixed,dijkstra,0.047575549973357695,0.4,3.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
erlang_sensitivity,mixed,range_aware,0.003378145560238416,0.0,3.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
erlang_sensitivity,highway,nearest,0.019296376912270954,0.17,3.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
erlang_sensitivity,highway,cost_optimized,0.019296376912270954,0.27,3.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
erlang_sensitivity,highway,queue_aware,0.019296376912270954,0.22,3.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
erlang_sensitivity,highway,static_queue,0.019296376912270954,0.28,3.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
erlang_sensitivity,highway,dijkstra,0.031179456479714644,0.37,3.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
erlang_sensitivity,highway,range_aware,0.0037415347775657574,0.0,3.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
