variant,scenario,algorithm,distance_mean,distance_ci_low,distance_ci_high,wait_mean,wait_ci_low,wait_ci_high,pdelay_mean,pdelay_ci_low,pdelay_ci_high,runtime_ms_mean,reservation_accept_rate,fairness_jain,reservation_rejection_rate,load_multiplier,top_k_sampled,weights_distance,weights_wait,weights_cost
erlang_sensitivity,highway,dijkstra,7.4441228,7.051579605,7.82351104,212020.01355456392,178019.4633987217,248019.94833768095,0.40804736522744905,0.37434683750950165,0.4401613358770091,56.06390826810093,0.636,0.0311794564797146,0.37,3.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
erlang_sensitivity,highway,nearest,7.2581356,6.842768395,7.649720309999999,54010.11672678544,34010.29130615696,76008.8137952907,0.20915665860576058,0.18509877253265858,0.23410937093028486,0.8273303359601414,0.804,0.0182338010911106,0.2,0.5,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
erlang_sensitivity,highway,nearest,7.2581356,6.842768395,7.649720309999999,54010.11672678544,34010.29130615696,76008.8137952907,0.20915665860576058,0.18509877253265858,0.23410937093028486,0.8273303359601414,0.804,0.0144596431360074,0.21,1.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
erlang_sensitivity,highway,nearest,7.2581356,6.842768395,7.649720309999999,54010.11672678544,34010.29130615696,76008.8137952907,0.20915665860576058,0.18509877253265858,0.23410937093028486,0.8273303359601414,0.804,0.0140426559717798,0.17,1.5,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
erlang_sensitivity,highway,nearest,7.2581356,6.842768395,7.649720309999999,54010.11672678544,34010.29130615696,76008.8137952907,0.20915665860576058,0.18509877253265858,0.23410937093028486,0.8273303359601414,0.804,0.0159809762458769,0.23,2.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
erlang_sensitivity,highway,nearest,7.2581356,6.842768395,7.649720309999999,54010.11672678544,34010.29130615696,76008.8137952907,0.20915665860576058,0.18509877253265858,0.23410937093028486,0.8273303359601414,0.804,0.0192963769122709,0.17,3.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
erlang_sensitivity,highway,queue_aware,7.4381848,7.013071835,7.827525415,158003.34844159082,128002.88148967047,190003.07444617653,0.21307587505982725,0.18262411706753723,0.2461047898925978,2.1231021921121283,0.922,0.0096145710747552,0.0,0.5,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
erlang_sensitivity,highway,queue_aware,7.4381848,7.013071835,7.827525415,158003.34844159082,128002.88148967047,190003.07444617653,0.21307587505982725,0.18262411706753723,0.2461047898925978,2.1231021921121283,0.922,0.0094553348890511,0.0,1.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
erlang_sensitivity,highway,queue_aware,7.4381848,7.013071835,7.827525415,158003.34844159082,128002.88148967047,190003.07444617653,0.21307587505982725,0.18262411706753723,0.2461047898925978,2.1231021921121283,0.922,0.0115535878511713,0.0,1.5,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
erlang_sensitivity,highway,queue_aware,7.4381848,7.013071835,7.827525415,158003.34844159082,128002.88148967047,190003.07444617653,0.21307587505982725,0.18262411706753723,0.2461047898925978,2.1231021921121283,0.922,0.0159809762458769,0.17,2.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
erlang_sensitivity,highway,queue_aware,7.4381848,7.013071835,7.827525415,158003.34844159082,128002.88148967047,190003.07444617653,0.21307587505982725,0.18262411706753723,0.2461047898925978,2.1231021921121283,0.922,0.0192963769122709,0.22,3.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
erlang_sensitivity,highway,range_aware,9.6921692,9.286455669999999,10.09844406,0.0184268512684103,3.6550664818253614e-07,0.04994422956866699,0.0006095286303719198,8.23060308631201e-08,0.0018273574306693762,1.7485346081666648,1.0,0.0040609005128105,0.0,0.5,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
erlang_sensitivity,highway,range_aware,9.6921692,9.286455669999999,10.09844406,0.0184268512684103,3.6550664818253614e-07,0.04994422956866699,0.0006095286303719198,8.23060308631201e-08,0.0018273574306693762,1.7485346081666648,1.0,0.0039020248387293,0.0,1.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
erlang_sensitivity,highway,range_aware,9.6921692,9.286455669999999,10.09844406,0.0184268512684103,3.6550664818253614e-07,0.04994422956866699,0.0006095286303719198,8.23060308631201e-08,0.0018273574306693762,1.7485346081666648,1.0,0.0041619636477447,0.0,1.5,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
erlang_sensitivity,highway,range_aware,9.6921692,9.286455669999999,10.09844406,0.0184268512684103,3.6550664818253614e-07,0.04994422956866699,0.0006095286303719198,8.23060308631201e-08,0.0018273574306693762,1.7485346081666648,1.0,0.004618212382351,0.0,2.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
erlang_sensitivity,highway,range_aware,9.6921692,9.286455669999999,10.09844406,0.0184268512684103,3.6550664818253614e-07,0.04994422956866699,0.0006095286303719198,8.23060308631201e-08,0.0018273574306693762,1.7485346081666648,1.0,0.0037415347775657,0.0,3.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
erlang_sensitivity,highway,static_queue,7.424554800000001,7.009094515000001,7.8353109,54006.429201120285,36006.430629237795,74006.4284517808,0.1541515303402888,0.12744238732399857,0.17949328152096097,1.6601911759207724,0.904,0.009814043503692,0.0,0.5,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
erlang_sensitivity,highway,static_queue,7.424554800000001,7.009094515000001,7.8353109,54006.429201120285,36006.430629237795,74006.4284517808,0.1541515303402888,0.12744238732399857,0.17949328152096097,1.6601911759207724,0.904,0.0104588069429744,0.0,1.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
erlang_sensitivity,highway,static_queue,7.424554800000001,7.009094515000001,7.8353109,54006.429201120285,36006.430629237795,74006.4284517808,0.1541515303402888,0.12744238732399857,0.17949328152096097,1.6601911759207724,0.904,0.0117587296809151,0.0,1.5,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
erlang_sensitivity,highway,static_queue,7.424554800000001,7.009094515000001,7.8353109,54006.429201120285,36006.430629237795,74006.4284517808,0.1541515303402888,0.12744238732399857,0.17949328152096097,1.6601911759207724,0.904,0.0159809762458769,0.2,2.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
erlang_sensitivity,highway,static_queue,7.424554800000001,7.009094515000001,7.8353109,54006.429201120285,36006.430629237795,74006.4284517808,0.1541515303402888,0.12744238732399857,0.17949328152096097,1.6601911759207724,0.904,0.0192963769122709,0.28,3.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
erlang_sensitivity,mixed,cost_optimized,2.8109874,2.6643295499999997,2.9577658700000002,126005.6326026741,98005.62790093254,156005.5061501817,0.23192185500626475,0.20388240282165665,0.261905283932808,1.7746344720217166,0.812,0.0256289340413753,0.07,0.5,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
